date,festival,festival_type,is_national_holiday,observed_in
2025-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-01-14,Pongal,religious_hindu,False,TN
2026-01-14,Uttarayan,other_holiday,False,GJ
2026-01-15,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2026-01-16,Uzhavar Thirunal,other_holiday,False,TN
2026-01-24,UP Formation Day,other_holiday,False,UP
2026-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2026-03-03,Holi,religious_hindu,False,MH
2026-03-04,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-03-19,Gudi Padwa,religious_hindu,False,MH
2026-03-19,Ugadi,religious_hindu,False,KA
2026-03-21,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-03-26,Ram Navami,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-03-31,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-04-03,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2026-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2026-04-15,Pohela Boishakh,other_holiday,False,WB
2026-05-01,Buddha Purnima,religious_buddhist,True,"DL,IN,KA,KL,TN,UP,WB"
2026-05-01,Buddha Purnima; Gujarat Day,religious_buddhist,True,GJ
2026-05-01,Buddha Purnima; Maharashtra Day,religious_buddhist,True,MH
2026-05-09,Rabindra Jayanti,other_holiday,False,WB
2026-05-27,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-06-26,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-08-15,Independence Day,national_civic,True,"DL,IN,KA,KL,TN,UP,WB"
2026-08-15,Independence Day; Parsi New Year (Shahenshahi),national_civic,True,"GJ,MH"
2026-08-26,Onam; Prophet's Birthday,religious_islamic,True,KL
2026-08-26,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,MH,TN,UP,WB"
2026-09-04,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-09-14,Ganesh Chaturthi,religious_hindu,False,MH
2026-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-10-20,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2026-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2026-11-01,Kerala Foundation Day,other_holiday,False,KL
2026-11-08,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-11-10,Gujarati New Year,other_holiday,False,GJ
2026-11-15,Chhath Puja,religious_hindu,False,UP
2026-11-24,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2026-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2027-01-15,Pongal,religious_hindu,False,TN
2027-01-15,Uttarayan,other_holiday,False,GJ
2027-01-16,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2027-01-17,Uzhavar Thirunal,other_holiday,False,TN
2027-01-24,UP Formation Day,other_holiday,False,UP
2027-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2027-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2027-03-06,Maha Shivaratri,other_holiday,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2027-03-10,Eid al-Fitr (estimated),religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
